salary,city,companyShortName,district,companyId,jobNature,industryField,createTime,firstType,secondType,positionAdvantage,positionName,education,companyFullName,companyLabelList,companySize
8k-14k,深圳,紫川软件,福田区,63500,全职,"电子商务,金融",2018-07-12 08:29:37,开发/测试/运维类,后端开发,周末双休 免费体检 员工旅游 五险一金,python工程师,本科,深圳市紫川软件有限公司,"节日礼物, 年底双薪, 绩效奖金, 岗位晋升, ",500-2000人
15k-30k,深圳,MINIEYE,南山区,124262,全职,"硬件,其他",2018-07-12 10:01:21,开发/测试/运维类,后端开发,"无人驾驶,车厂合作,扁平化管理,股票期权",python工程师,本科,深圳佑驾创新科技有限公司,"无人驾驶, 国际标准, 车厂合作, 海归团队, ",50-150人
10k-20k,深圳,卖座网,南山区,56,全职,"移动互联网,电子商务",2018-07-12 09:37:19,开发/测试/运维类,后端开发,大数据、人工智能,Python工程师,本科,深圳市华宇讯科技有限公司,"技能培训, 股票期权, 五险一金, 弹性工作, ",500-2000人
10k-20k,深圳,南方网通,南山区,59235,全职,电子商务、广告营销,2018-07-12 08:51:36,开发/测试/运维类,后端开发,"五险一金,提供住宿,员工旅游",Python工程师,本科,深圳市南方网通网络技术开发有限公司,"技能培训, 节日礼物, 专项奖金, 带薪年假, ",150-500人
20k-40k,深圳,海知智能,南山区,88978,全职,"移动互联网,数据服务",2018-07-12 16:40:36,开发/测试/运维类,后端开发,"人工智能,技术大牛,成长空间大,创新前沿",Python开发工程师,本科,上海海知智能科技有限公司,"晋升空间大, 硅谷管理风格, 创新前沿, 尊重个性, ",50-150人
10k-20k,深圳,有鱼智能科技,福田区,87029,全职,"移动互联网,金融",2018-07-11 09:48:58,开发/测试/运维类,后端开发,"上市公司,弹性工作制,大牛多,发展空间大",Python开发工程师,本科,深圳市有鱼智能科技有限公司,"节日礼物, 股票期权, 带薪年假, 绩效奖金, ",150-500人
15k-30k,深圳,极光,南山区,917,全职,"移动互联网,数据服务",2018-07-11 09:33:50,技术,后端开发,五险一金、14薪/年、下午茶、工作餐等等,Python开发工程师,本科,深圳市和讯华谷信息技术有限公司,"五险一金, 文体活动, 团建旅游, 美味晚餐, ",500-2000人
15k-20k,深圳,游方互动,南山区,136999,全职,移动互联网,2018-07-12 17:02:52,开发/测试/运维类,软件开发,"五险一金,周末双休,年底双薪,超赞团队",Python工程师,本科,深圳市游方互动科技有限公司,"年底双薪, 股票期权, 带薪年假, 扁平管理, ",15-50人
15k-20k,深圳,新华云帆,南山区,29231,全职,数据服务,2018-07-12 09:18:11,开发/测试/运维类,后端开发,"五险一金,餐饮补助,定期体检,弹性工作",python开发工程师,本科,深圳市新华云帆科技有限公司,"年底双薪, 节日礼物, 春节16天假, 带薪年假, ",150-500人
15k-30k,深圳,Wise2c,南山区,124064,全职,"移动互联网,其他",2018-07-10 10:19:06,开发/测试/运维类,后端开发,"13薪,年终奖,公司福利好,公司氛围好",Python开发工程师,本科,深圳睿云智合科技有限公司,"股票期权, 带薪年假, 年底双薪, 定期体检, ",15-50人
15k-25k,深圳,500.com集团,南山区,9275,全职,"移动互联网,电子商务",2018-07-12 10:08:06,开发/测试/运维类,后端开发,氛围轻松,Python开发工程师,本科,深圳市易讯天空网络技术有限公司,"股票期权, 绩效奖金, 专项奖金, 交通补助, ",150-500人
20k-40k,深圳,萨摩耶金服,南山区,73604,全职,金融,2018-07-12 09:40:40,开发/测试/运维类,后端开发,"五险一金,待遇丰厚",python工程师,本科,深圳萨摩耶互联网金融服务有限公司,"技能培训, 年度旅游, 岗位晋升, 五险一金, ",150-500人
9k-16k,深圳,金证股份,福田区,25317,全职,金融,2018-07-12 15:52:17,开发/测试/运维类,后端开发,"上市公司,大型项目,年度调薪,薪资福利好",Python开发,本科,深圳市金证科技股份有限公司,"激情的团队, 股票期权, 努力变大牛, 有舞台给您跳, ",2000人以上
5k-8k,深圳,花果山,南山区,16039,全职,电子商务,2018-07-12 11:08:49,技术,后端开发,年轻富有活力的团队，稳步发展的创业公司。,Python,本科,深圳花果山科技有限公司,"年底双薪, 团队建设, 节日礼物, 员工每月分红, ",150-500人
15k-20k,深圳,松茂科技,南山区,90570,全职,移动互联网,2018-07-12 18:42:03,开发/测试/运维类,后端开发,"十点上班,周末双休,下午茶零食,团建旅游",Python开发工程师,本科,深圳松茂科技有限公司,"周末双休, 年轻团队, 朝十晚六, 技能培训, ",50-150人
20k-25k,深圳,南方网通,南山区,59235,全职,电子商务、广告营销,2018-07-12 08:51:36,开发/测试/运维类,后端开发,"五险一金,提供住宿,员工旅游",Python AI工程师,本科,深圳市南方网通网络技术开发有限公司,"技能培训, 节日礼物, 专项奖金, 带薪年假, ",150-500人
10k-20k,深圳,新华云帆,南山区,29231,全职,数据服务,2018-07-12 09:17:10,开发/测试/运维类,后端开发,"五险一金,餐饮补助,定期体检,弹性工作",python开发工程师,本科,深圳市新华云帆科技有限公司,"年底双薪, 节日礼物, 春节16天假, 带薪年假, ",150-500人
20k-25k,深圳,布谷鸟科技,南山区,148452,全职,"电子商务,移动互联网",2018-07-02 15:34:27,开发/测试/运维类,后端开发,"五险一金,绩效奖金,技术大牛多,团队年轻化",Python开发工程师,本科,深圳布谷鸟信息科技有限公司,"高颜值公司, 发展潜力大, 美女多, 岗位晋升, ",500-2000人
13k-25k,深圳,比特大陆,南山区,21539,全职,"移动互联网,硬件",2018-07-12 13:23:30,开发/测试/运维类,后端开发,"弹性工作,年底双薪,丰厚福利",Python开发工程师-深圳-01278,本科,北京比特大陆科技有限公司,"丰厚底薪, 年底双薪, 六险一金, 午餐补助, ",150-500人
10k-20k,深圳,试金石信用,南山区,135243,全职,"数据服务,移动互联网",2018-07-12 09:24:33,开发/测试/运维类,后端开发,"福利好,大牛多",Python开发岗,本科,试金石信用服务有限公司,"年终奖金, 绩效奖金, 餐补交通补, 过节费, ",50-150人
15k-30k,深圳,羚羊极速,南山区,60841,全职,移动互联网,2018-07-10 17:31:28,开发/测试/运维类,运维安全,"发展前景好,股份期权,团队年轻,福利好",Python 开发工程师,本科,深圳羚羊极速科技有限公司,"节日礼物, 绩效奖金, 岗位晋升, 定期体检, ",50-150人
15k-25k,深圳,海南新浪爱问普惠科技有限公司,南山区,175085,全职,金融,2018-07-10 11:12:40,开发/测试/运维类,后端开发,"福利好,金融科技,大数据,发展空间大",Python工程师,本科,海南新浪爱问普惠科技有限公司,"午餐补助, 通讯津贴, 带薪年假, 交通补助, ",150-500人
15k-22k,深圳,回收宝,南山区,30456,全职,"移动互联网,电子商务",2018-07-12 10:25:26,开发/测试/运维类,后端开发,"腾讯系团队,大牛导师多,发展前景广,薪资待遇好",Python开发工程师,本科,深圳回收宝科技有限公司,"股票期权, 城市核心, 岗位晋升, 腾讯系, ",150-500人
15k-30k,深圳,Gridsum 国双,福田区,3038,全职,"数据服务,企业服务",2018-07-12 10:41:37,开发/测试/运维类,后端开发,发挥空间 晋升空间 牛人多 团队优秀,资深python开发工程师,本科,北京国双科技有限公司,"年度旅游, 节日礼物, 年底双薪, 带薪年假, ",500-2000人
15k-30k,深圳,极光,南山区,917,全职,"移动互联网,数据服务",2018-07-11 09:33:49,技术,后端开发,五险一金、14薪+、下午茶、年度旅游等等,高级Python开发工程师,本科,深圳市和讯华谷信息技术有限公司,"五险一金, 文体活动, 团建旅游, 美味晚餐, ",500-2000人
14K-22K,深圳,博奥特科技,福田区,69152,全职,"移动互联网,金融",2018-07-06 09:52:30,开发/测试/运维类,后端开发,证券行业，提升空间大,python,本科,深圳市博奥特科技有限公司,"绩效奖金, 领导好, 帅哥多, 美女多, ",150-500人
15k-30k,深圳,商汤科技,南山区,40459,全职,移动互联网,2018-07-10 18:37:21,开发/测试/运维类,后端开发,"人工智能,福利好,技术大牛多,弹性工作",Python开发工程师,本科,北京市商汤科技开发有限公司,"五险一金, 弹性工作, 丰盛三餐, 发展空间大, ",500-2000人
7k-13k,深圳,汇金智融,南山区,119788,全职,"移动互联网,电子商务",2018-07-12 15:31:57,开发/测试/运维类,后端开发,"加班费高,年终奖,带薪年假,五险一金",深圳Python开发工程师,本科,汇金智融（北京）科技有限公司,"年底双薪, 绩效奖金, 带薪年假, 弹性工作, ",150-500人
10k-20k,深圳,科迈爱康,南山区,111390,全职,"移动互联网,数据服务",2018-07-11 16:44:15,开发/测试/运维类,后端开发,"大神团队,发展空间大,氛围活跃",Python开发工程师,本科,深圳市科迈爱康科技有限公司,"合伙人, 薪资丰厚, 年轻团队, 领导高逼格, ",15-50人
15k-30k,深圳,小步网络,宝安区,130397,全职,移动互联网,2018-07-12 11:03:36,开发/测试/运维类,后端开发,"待遇优厚,成长空间大,弹性上班,下午茶",Python后台开发工程师,本科,深圳小步网络科技有限公司,"股票期权, 定期体检, 下午茶, 年度旅游, ",50-150人
20k-30k,深圳,FDTAI,福田区,255047,全职,金融,2018-07-09 15:51:28,开发/测试/运维类,后端开发,"晋升空间大,平台好,领导好",Python开发工程师,本科,深圳大湾区智慧科技有限公司,"弹性工作, 领导好, 岗位晋升, 诱人的高薪, ",50-150人
15k-20k,深圳,深圳市九洲电器有限公司,南山区,201891,全职,其他,2018-07-12 15:13:00,开发/测试/运维类,后端开发,双休,python高级开发工程师,本科,深圳市九洲电器有限公司,"年底双薪, 专项奖金, 带薪年假, 交通补助, ",150-500人
15k-25k,深圳,万科物业,福田区,8350,全职,"O2O,生活服务",2018-07-11 14:08:27,开发/测试/运维类,后端开发,"弹性工作,团队激情",高级Python开发,本科,万科物业发展有限公司,"社区o2o, 原始股权, 弹性工作制, 互联网+, ",2000人以上
10k-20k,深圳,铭创信息,南山区,379145,全职,"移动互联网,金融",2018-07-09 15:45:02,开发/测试/运维类,后端开发,双休,Python开发工程师,本科,深圳前海铭创信息科技有限公司,"午餐补助, ",50-150人
15k-20k,深圳,Gridsum 国双,福田区,3038,全职,"数据服务,企业服务",2018-07-09 09:38:59,开发/测试/运维类,后端开发,大数据上市公司 福利待遇好 发展空间大,高级python开发工程师,本科,北京国双科技有限公司,"年度旅游, 节日礼物, 年底双薪, 带薪年假, ",500-2000人
15k-30k,深圳,糗事百科,南山区,1015,全职,移动互联网,2018-07-12 11:15:34,技术,后端开发,老司机来开车,Python,本科,心灵失重（北京）科技有限公司,"媲美名企高薪, 无限量零食, 五险一金, 年度旅游, ",150-500人
16k-30k,深圳,暴鸡电竞,南山区,163522,全职,"移动互联网,文化娱乐",2018-07-09 12:05:52,开发/测试/运维类,后端开发,"技术大牛多,福利待遇好,电竞风口,团队稳定",高级Python开发工程师,本科,深圳开黑科技有限公司,"股票期权, 岗位晋升, 年度旅游, 晚餐补贴, ",50-150人
18k-35k,深圳,极光,南山区,917,全职,"移动互联网,数据服务",2018-07-11 09:33:50,开发/测试/运维类,后端开发,"D轮+,14薪+,攻城狮氛围,牛掰团队",极光调研 - 高级 Python 工程师,本科,深圳市和讯华谷信息技术有限公司,"五险一金, 文体活动, 团建旅游, 美味晚餐, ",500-2000人
25k-35k,深圳,立新出行,宝安区,89990,全职,"电子商务,O2O",2018-07-12 09:37:11,开发/测试/运维类,后端开发,"周末双休,五险一金,自助零食,领导好",Python后台开发工程师,本科,深圳市立新出行信息技术有限公司,"年底双薪, 股票期权, 带薪年假, 绩效奖金, ",50-150人
12k-20k,深圳,上海炽聚,南山区,267905,全职,"电子商务,企业服务",2018-07-05 15:30:20,开发/测试/运维类,软件开发,"热点行业，五险一金，待遇从优,BAT工作机会",Python开发工程师,本科,上海炽聚网络科技有限公司,"绩效奖金, 交通补助, 带薪年假, 定期体检, ",50-150人
